"","var","pval","cohend"
"2","Age.cat",0.178903832040719,0.547917874770815
"1","BMI.under.cat",0.899202349916006,-0.0512395343444853
"21","BMI.over.cat",0.527307629322649,-0.269736652030741
"11","Ethnicity.cat",0.94430130537922,0.0258387294720741
"0","Yeast.ever",0.087559289066223,-0.982078896232955
"01","UTI.ever",0.150874418041966,-0.586071176001987
"02","Chlamydia.ever",0.00016131650207799,-2.30214006576104
"03","Genwarts.ever",0.77935800677994,-0.231248968464783
"04","GenHerpes.ever",0.905522531240888,0.0547723220186002
"05","Antimicrobial.Use..y.1..n.0.",0.00914194942663839,-1.0317126759608
"06","X.Non..Prescription..y.1..n.0.",0.125493963175752,0.879237771011413
"07","probiotics.2.months",0.26037666374793,-0.424563992846658
"08","Presence.Symptoms.2wks",0.202891762856944,-0.705207121560229
"09","Abnormal.discharge.2wks",0.871300709067121,-0.0801235782572957
"010","Abnormal.odor.2wks",0.235016175078015,-0.535181800293627
"011","Irritation.Discomfort.2wks",0.20944721375418,-0.479886319051953
"012","Other.Symptoms.2wks",0.517230720560673,-0.323115240107069
"013","Presence.Symptoms.48hrs",0.525907092723821,0.314657391279941
"014","Abnormal.discharge.48hrs",0.902548998585508,-0.0551620683985619
"015","Abnormal.odor.48hrs",0.373208248113847,-0.390420396585373
"016","Irritation.Discomfort.48hrs",0.731795677190858,-0.139436518337238
"017","Other.Symptoms.48hrs",0.887207196595278,-0.0686756024527718
"018","Symptom.pain",0.393641322478965,0.350764033865016
"019","Vaginal.intercourse.in.past.48.hours..y.1..n.0.",0.161409791307877,-0.697607462215567
"020","Freq.oral.sex.cat",0.599588086468345,0.384157791030656
"021","Freq.anal.sex.cat",0.727054494372365,0.150092904402291
"022","Freq.sex.toy.use.cat",0.130337356093943,0.660411397166778
"023","Number.partners.in.past.year.cat",0.991005703077349,-0.0143137543632952
"024","contraception.H",0.621193581994896,-0.189435669169047
"025","contraception.B.M",0.620270710651472,-0.268495262374027
"026","Contraception.none",0.285230496891794,0.474522720793842
"027","condoms.48h",0.638529257125258,-0.460928161719834
"028","Pregnancy.cat",0.71209941037419,0.146787370857928
"029","Feminine.products",0.364644587643587,0.423933909334812
"030","Feminine.products.48hrs",0.747562838988622,0.154283588101753
"12","Tampon.Use.cat",0.185151032031035,-0.569114132527006
"031","Tampon.use.1mth",0.513536831194568,-0.252948959239944
"032","Substance.Use",0.00883532720734245,-1.03970660549614
"033","smoking.current",0.863231807813657,0.15614130853613
