"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",49.3190804493639,662914.113150553,7.43973909606042e-05,0.999940639470443
"Genwarts.ever1",-36.5526612096522,686609.589792614,-5.32364559905035e-05,0.999957523453713
"Yeast..year.",-6.51818748286112,70129.7426630491,-9.294469415322e-05,0.999925840863633
"Irritation.Discomfort.2wks1",179.389505307417,2660732.68093876,6.74210929164536e-05,0.99994620575093
"Other.Symptoms.2wks1",-262.5138442145,3861976.55173744,-6.79739611822342e-05,0.999945764625878
"Other.Symptoms.48hrs1",172.08291587018,2607792.31920196,6.59879679079814e-05,0.999947349219246
"BV..number.of.episodes.2.months.",65.7205128244628,847568.537176227,7.7540057165664e-05,0.999938131985606
"Irritation.Discomfort.48hrs1",-158.707109935996,2036489.67521499,-7.79317036897041e-05,0.999937819496892
"BV..number.of.episodes.lifetime.",14.2001382861578,193544.01849583,7.33690371653817e-05,0.999941459978057
"BV..number.of.episodes.year.",-34.7574132022258,453731.764154443,-7.66034383045639e-05,0.999938879299332
"UTI.ever1",93.2064720667479,1238488.07458758,7.52582717421688e-05,0.999939952586961
"Yeast..lifetime.",3.72102192825105,48146.3099956974,7.7285713662866e-05,0.999938334922359
"Yeast..2months.",-41.829501150715,610454.467459574,-6.85219019279026e-05,0.999945327432418
"GenHerpes.ever1",32.1580238184656,682838.162354362,4.70946493493974e-05,0.999962423906402
"Abnormal.discharge.2wks1",20.8793766219696,518356.976612601,4.02799182108317e-05,0.999967861275158
"Ethnicity.cat2",-117.577297634085,1349931.884278,-8.70986892031002e-05,0.999930505300707
"Ethnicity.cat3",-48.6546868537622,529010.550470209,-9.19729990460789e-05,0.999926616164154
"Pregnancy.cat1",-37.3935279038852,387950.577678655,-9.63873494599068e-05,0.999923094022128
"Tampon.Use.cat2",5.21563107789812,337481.17915902,1.54545835441701e-05,0.999987669026397
"Tampon.Use.cat3",-58.1740164404298,705949.366253331,-8.24053667604739e-05,0.999934250030209
"Tampon.Use.cat4",-275.314127850872,3484480.99131447,-7.90115166468488e-05,0.999936957930808
