"","var","pval","phi","cramer"
"1","Age.cat",0.777336563916179,NA,0.318953917880941
"2","BMI.cat",0.745522767043153,NA,0.377544278912663
"3","BMI.under.cat",0.81617647058823,NA,0.447213595499958
"4","BMI.over.cat",0.787151702786364,NA,0.330943816264649
"5","Ethnicity.cat",0.896749837859002,NA,0.247206616236522
"6","Yeast.ever",0.898362507058158,NA,0.271313676601662
"7","UTI.ever",0.251245120473817,NA,0.489897948556636
"8","Chlamydia.ever",0.565499717673632,NA,0.397911212877111
"9","Genwarts.ever",0.158339920948618,NA,0.496015872761897
"10","GenHerpes.ever",0.538972332015815,NA,0.383178022367407
"11","Antimicrobial.Use..y.1..n.0.",1,NA,0.204124145231932
"12","X.Non..Prescription..y.1..n.0.",0.951242978988971,NA,0.228256084992568
"13","probiotics.2.months",0.728988974412314,NA,0.337278243823425
"14","Presence.Symptoms.2wks",1,NA,0.230283093235919
"15","Abnormal.discharge.2wks",0.523195340128975,NA,0.385077023107703
"16","Abnormal.odor.2wks",0.415019762845847,NA,0.457775953419805
"17","Irritation.Discomfort.2wks",0.902485957977941,NA,0.242535625036333
"18","Other.Symptoms.2wks",0.578305942722414,NA,0.345438462091929
"19","Presence.Symptoms.48hrs",0.76708074534161,NA,0.352435137742804
"20","Abnormal.discharge.48hrs",0.190824655220936,NA,0.536745040121693
"21","Abnormal.odor.48hrs",0.305576193448042,NA,0.498363334397601
"22","Irritation.Discomfort.48hrs",0.966959948114881,NA,0.22566773346211
"23","Other.Symptoms.48hrs",0.937591013105881,NA,0.210042012604201
"24","Symptom.pain",0.304727611868543,NA,0.459552838299157
"25","Vaginal.intercourse.in.past.48.hours..y.1..n.0.",1,NA,0.210818510677892
"26","Freq.oral.sex.cat",0.0663466967814798,NA,0.6
"27","Freq.anal.sex.cat",0.951242978988971,NA,0.228256084992568
"28","Freq.sex.toy.use.cat",0.750160101485982,NA,0.329501788419166
"29","Sexual.Partners.cat",1,NA,0.361157559257308
"30","Number.partners.in.past.year.cat",0.110671936758893,NA,0.737326788914382
"31","contraception.H",0.167706816448234,NA,0.54232614454664
"32","contraception.B.M",0.380646527385656,NA,0.456531546151609
"33","contraception.C.IUD",1,NA,0.361157559257308
"34","Contraception.none",0.0504935904047486,NA,0.605000529773025
"35","condoms.48h",0.906086956521746,NA,0.256235371595269
"36","Pregnancy.cat",0.622945704181398,NA,0.341565025531987
"37","Feminine.products",0.229486166007907,NA,0.496015872761897
"38","Feminine.products.48hrs",0.229486166007907,NA,0.496015872761897
"39","Tampon.Use.cat",0.598277809147372,NA,0.350438322025231
"40","Tampon.use.1mth",0.511537504537904,NA,0.414039335605413
"41","Substance.Use",0.745906267645403,NA,0.33166247903554
"42","smoking.current",0.671304347826091,NA,0.423429957954004
