"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",76.6982026150595,844863.759262176,9.07817405755935e-05,0.999927566650891
"Shannon.s.Diversity",4.14301231505454e-14,224040.483886298,1.84922485578863e-19,1
"Nugent.score.cat1",1.01345312058122e-14,292022.059006568,3.4704676901084e-20,1
"Nugent.score.cat2",1.57163393582871e-14,439845.460975574,3.57315028861009e-20,1
"Age.cat3",51.132135569295,444570.747015775,0.000115014620085835,0.999908231610569
"Age.cat4",51.1321355692951,398360.055189793,0.000128356583204443,0.999897586264265
"BMI.cat2",-102.26427113859,626034.92069048,-0.000163352343070253,0.999869663688073
"BMI.cat3",-102.26427113859,733588.323372114,-0.00013940280656119,0.999888772653272
"BMI.cat4",-153.396406707885,980492.368879641,-0.000156448343277942,0.999875172282845
"Ethnicity.cat2",-51.1321355692951,455376.160973884,-0.000112285490439249,0.999910409140965
"Marital.Status.cat2",-51.132135569295,329552.698517841,-0.000155156173198584,0.999876203285388
"Highest.Education.Level.cat3",-6.37713358057612e-14,422930.315670433,-1.50784499107543e-19,1
"Highest.Education.Level.cat4",5.69200005280293e-14,414577.530979936,1.37296395184485e-19,1
"Highest.Education.Level.cat5",5.64048355140068e-14,452439.502549532,1.24668237844311e-19,1
"Current.or.chronic.conditions...y.1..n.0.1",7.08417037631086e-14,250003.514981576,2.83362830991913e-19,1
