,Var1,freq,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.71,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.77,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106
1,Other dsDNA Viruses,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Herpesviridae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Other dsDNA Viruses,130,1,2,11,7,7,8,9,9,4,4,10,3,6,6,4,13,14,3,0,9,0
4,Caudovirales,7,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
5,Other dsDNA Viruses,177,1,5,21,14,14,13,15,7,12,2,6,3,8,6,8,4,13,4,0,7,14
6,Ascoviridae,9,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
7,Asfarviridae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bicaudaviridae,36,1,0,4,1,1,1,2,0,1,1,1,3,9,1,1,4,2,0,0,1,2
9,Fuselloviridae,61,1,0,0,4,4,7,11,0,2,3,8,3,1,0,0,13,1,0,0,3,0
10,Hytrosaviridae,21,1,1,1,0,0,4,0,1,4,0,0,0,2,1,0,0,4,0,0,1,1
11,Nudiviridae,12,1,0,0,1,1,0,0,3,0,0,1,0,1,0,0,0,2,0,0,1,1
12,Parvoviridae,11,1,0,0,1,1,0,1,0,0,0,0,0,4,0,1,2,0,0,0,0,0
13,Polyomaviridae,16,1,0,0,2,2,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,1
14,Poxviridae,296,1,2,240,7,7,4,4,2,2,1,4,2,6,3,2,1,5,0,0,1,2
15,Togaviridae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Nimaviridae,104,2,4,12,4,4,8,11,9,3,3,1,2,15,4,0,12,4,0,0,3,3
17,Tymoviridae,25,2,1,0,1,1,2,3,1,0,2,0,0,2,0,0,5,2,0,0,1,2
18,Other dsDNA Viruses,14,3,0,0,2,2,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0
19,Other Phages,7,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0
20,Other Phages,29,3,22,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
21,Other Viruses (unclassified),819,5,0,11,8,8,1,1,3,5,2,2,2,749,0,5,2,0,13,0,1,1
22,Pandoraviridae ,65,5,2,2,3,3,8,2,3,4,2,2,0,1,1,3,15,4,0,0,5,0
23,Other dsDNA Viruses,71,6,0,5,4,4,4,3,9,2,6,2,2,2,2,2,5,5,0,0,5,3
24,Alloherpesviridae,174,7,6,5,16,16,14,8,17,5,8,9,3,14,9,3,3,8,2,0,12,9
25,Pandoraviridae ,135,8,1,5,13,13,6,8,10,5,12,5,7,8,2,2,4,7,2,0,15,2
26,Other Viruses (unclassified),41,10,6,1,2,2,1,2,3,3,0,2,0,1,0,0,5,1,0,0,1,1
27,Anelloviridae,454,10,1,0,2,2,78,3,6,0,0,0,0,4,1,0,342,1,0,0,3,1
28,Alphaflexiviridae,302,15,7,16,23,23,15,16,22,8,4,6,4,75,5,2,21,22,1,0,8,9
29,Iridoviridae,319,29,0,13,23,23,19,18,28,4,8,19,9,47,17,0,6,19,5,0,21,11
30,Lactobacillus phage,141,32,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,100,2,0,0,0
31,Baculoviridae,664,41,15,43,67,67,39,33,56,25,23,23,19,36,27,5,36,38,10,0,35,26
32,Mimiviridae,217,46,76,15,5,5,1,3,9,3,1,3,0,16,5,3,3,9,2,0,11,1
33,Siphoviridae,8261,48,11,638,88,88,7,15,37,861,13,93,62,3285,16,49,84,1186,1629,4,19,28
34,Retroviridae,803,58,13,61,78,78,45,44,71,30,31,26,17,42,28,5,33,70,5,0,43,25
35,Adenoviridae,1969,59,33,215,152,152,113,71,101,38,68,108,46,460,46,14,94,85,15,0,55,44
36,Podoviridae,11780,65,23,181,86,86,22,92,107,34,20,20,1947,4086,30,289,4074,100,72,0,94,352
37,Reoviridae,94,89,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0
38,Myoviridae,10937,94,51,125,114,114,60,61,131,88,45,69,83,575,58,10,265,148,8690,0,95,61
39,1,12392,106,69,186,137,137,67,65,90,243,52,158,128,1040,46,73,116,169,9386,1,52,71
40,Pandoraviridae ,1209,116,16,63,99,99,88,68,125,57,51,51,30,19,56,12,37,93,10,0,78,41
41,Herpesviridae,5820,283,53,297,416,416,621,248,497,198,233,234,205,651,275,124,209,285,71,0,257,247
42,Polydnaviridae,3162,285,56,140,275,275,185,170,350,150,133,163,77,39,157,20,112,242,19,0,210,104
43,Papillomaviridae,1643407,778,20,23876,11645,11645,562,441,722,385,537,2179,566,452,8367,1577160,580,574,613,1509,468,328
44,Phycodnaviridae,16863,878,437,1080,1563,1563,890,601,1086,614,497,651,571,1688,486,703,904,1212,125,0,706,608
45,Other Phages,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Vibrio phage,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Other Phages,5,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
48,Caudovirales,184,0,2,0,0,0,1,0,1,0,0,1,2,158,0,1,6,4,2,0,6,0
49,Paramyxoviridae,30,0,3,1,1,1,2,4,0,1,1,2,0,2,2,1,3,1,1,0,3,1
50,Other ssDNA viruses,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Picornaviridae,23,0,0,1,5,5,2,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0
52,Potyviridae,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
53,Other Phages,6,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
54,Other ssRNA positive viruses,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Other Viruses (unclassified),45,0,0,0,1,1,0,0,0,0,0,0,21,19,0,0,3,0,0,0,0,0
56,Caudovirales,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
57,Luteoviridae,8,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,1
58,Vibrio phage,28,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Other Phages,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Mycodnaviridae,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Other Phages,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
62,Endornaviridae,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0
63,Bunyaviridae,6,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0
64,Other Phages,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Marseilleviridae,9,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0,0
66,Other Phages,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
