Participants,Actinobacteria sp.,Alloscardovia omnicolens,Atopobium vaginae,Bifidobacterium breve,Clostridia sp. BVAB2,Clostridium genomosp. BVAB3,Enterococcus rattus,Escherichia coli,Eukaryote,Gardnerella vaginalis Group A,Gardnerella vaginalis Group B,Gardnerella vaginalis Group C,Gardnerella vaginalis Group D,Klebsiella pneumoniae,Lactobacillus crispatus,Lactobacillus gasseri,Lactobacillus iners,Lactobacillus jensenii,Megasphaera sp. genomosp. type 1,Other Actinobacteria,Other Bacteria,Other Bacteroidetes,Other Bifidobacterium,Other Clostridium,Other Firmicutes,Other Lactobacillus,Other Prevotella,Other Proteobacteria,Other Streptococcus,Porphyromonas uenonis,Prevotella amnii,Prevotella timonensis,Pseudomonas putida,Streptococcus devriesei,Variovorax paradoxus
Vogue1A.01.004,0,34,1252,0,621,9708,0,0,0,60564,13569,82,188,0,3,4,1,2,9303,291,0,15,0,0,101,1,3389,16,218,555,3071,16820,0,0,1
Vogue1A.01.009,0,18,9,0,3,0,2,0,0,1698,2342,1812,2,0,46,231,209,3,0,4,0,2,0,0,6,1,0,2,4,0,0,0,0,0,1
Vogue1A.01.011,0,0,0,0,0,1,1,0,0,354,19,0,0,0,35,4217,3250,4645,2,14,0,0,0,0,18,379,0,2,21,0,3,27,0,0,4
Vogue1A.01.018,0,0,0,0,0,0,1,0,1,27,27,5,0,0,3,10,5448,1,0,15,0,1,0,0,12,5,0,182,17,0,0,0,58,0,80
Vogue1A.01.021,0,0,0,0,0,12,1,0,0,117,104,19,0,0,104,1,135,30,36,16,0,0,0,0,0,18,6,12,1,7,1,39,1,0,4
Vogue1A.01.024,0,0,0,0,0,1,3,0,11,45,3,0,0,0,1655,8,7,31,0,51,7,1,0,1,112,10,11,935,27,0,0,0,167,0,198
Vogue1A.01.034,0,0,2,0,5,1,0,0,7,20,163,13,0,0,1486,27,68,5,33,12,0,1,4,0,0,0,6,8,9,0,0,45,0,0,1
Vogue1A.01.035,0,1,14,0,4,12,0,0,0,17,1142,19,0,0,11,1,231,1,339,24,0,0,2,0,4,0,77,8,2,0,6,217,6,0,9
Vogue1A.01.037,0,2,164,0,30,1950,0,0,0,3293,818,21,14,0,48,0,7,1,524,73,1,2,0,0,16,0,210,0,39,1,0,16,0,0,0
Vogue1A.01.039,0,0,0,2,1,0,0,0,0,390,6,0,0,0,400,6650,11508,5794,0,22,1,40,0,1,35,221,5,3,101,0,0,9,0,0,0
Vogue1A.01.047,0,1,1072,13,331,0,0,0,0,422,1070,216,17,0,4,1,0,1,1471,3,0,1,0,0,1,0,204,0,0,0,0,0,0,0,0
Vogue1A.01.048,0,0,0,5911,0,0,0,0,0,1,0,0,0,0,105,0,1,0,3,8,0,0,12,0,2,0,1,2,4,0,0,4,0,0,0
Vogue1A.01.049,0,0,0,0,0,0,0,0,1,465,14,0,0,0,2021,96,6,9,0,4,0,1,0,1,3,3,0,0,4,0,0,0,1,0,0
Vogue1A.01.050,0,0,0,0,0,1,0,0,0,64,4,0,0,0,37,1011,150,9323,0,7,0,7,0,0,1,84,1,54,14,0,0,0,0,0,5
Vogue1A.01.051,0,3,14,0,122,954,0,0,0,523,1018,18,6,0,5,1,0,0,739,16,0,11,0,0,43,0,372,2,4,0,12,42,0,0,0
Vogue1A.01.053,0,0,14,0,26,1,0,0,6,1036,137,9,1,0,3932,1620,11664,1313,2,14,0,5,0,7,50,278,22,13,10,0,0,131,0,0,0
Vogue1A.01.054,0,1,0,0,4,0,0,0,7,257,76,0,2,0,6730,270,1121,1224,0,11,0,0,0,2,3,48,5,1,4,0,0,13,0,0,0
Vogue1A.01.059,0,0,228,0,9,431,0,0,0,60,18,5,29,0,1,0,3,1,174,9,0,2,0,0,1,0,19,1,3,0,294,234,0,0,0
Vogue1A.01.060,0,3,0,16,1,0,0,0,1,10,0,0,0,0,2183,166,10,68,0,18,0,0,1,4,3,0,1,0,1,0,2,1,0,0,0
Vogue1A.01.062,0,5,90,0,22,0,0,0,2,336,2910,3499,0,0,15,662,188,2273,0,34,0,14,0,1,30,18,30,0,5,2,0,122,0,0,0
Vogue1A.01.063,0,1,0,1,3,1,0,0,9,46,1,0,0,0,9484,1720,162,3094,0,177,8,656,0,12,18,32,65,13,16,76,0,18,0,0,0
Vogue1A.01.064,0,0,0,0,1,0,0,0,0,9,0,0,0,0,17,4,1061,34,2,2,0,0,0,0,3,53,0,4,2,0,0,0,0,0,0
Vogue1A.01.066,0,5,0,45,0,0,0,0,1,22,3,0,0,0,5934,372,1053,212,0,2,0,2,0,3,10,24,0,0,3,0,0,0,0,0,0
Vogue1A.01.067,0,0,1,0,8,0,0,0,0,6,43,28,0,0,1936,113,4,24,0,1,0,0,0,3,1,2,0,1,2,0,0,1,0,0,0
Vogue1A.01.068,0,0,0,0,0,0,0,0,6,99,15,6,0,0,81,302,285,21101,7,18,1,0,0,0,1,78,1,5,14,0,0,1,1,0,0
Vogue1A.01.070,0,0,0,0,20,0,0,0,0,21,2,0,0,0,8,504,1606,1552,0,319,2,1,0,0,13,58,0,2,7,4,0,45,0,0,1
Vogue1A.01.074,0,1,2,4,1,1,0,0,5,215,93,64,0,0,581,712,15112,1388,0,24,0,6,0,2,67,56,1,97,89,0,2,0,4,0,0
Vogue1A.01.076,0,1,0,31,4,0,0,0,3,15,0,1,0,0,5,696,3886,0,0,85,0,34,0,1,23,27,19,35,1,6,0,23,7,0,4
Vogue1A.01.078,0,0,0,0,0,0,0,0,1,23,0,0,0,0,578,42,162,24,0,36,1,4,0,1,2,2,0,53,0,0,0,5,16,0,4
Vogue1A.01.079,0,0,0,0,0,0,0,0,0,61,4,0,0,0,3641,67,0,30,0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
Vogue1A.01.084,0,6,0,938,0,0,0,0,0,34,8,0,0,0,10,707,0,0,0,13,0,0,3,0,0,0,1,3,0,0,0,22,0,0,0
Vogue1A.01.085,0,0,0,0,0,0,0,0,2,11,7,3,0,0,13823,89,1786,37,1,20,0,1,0,3,1,5,3,14,15,0,0,0,9,0,13
Vogue1A.01.087,0,1,0,0,0,1,0,0,2,63,4,0,0,0,38,928,5724,7077,1,12,1,5,0,0,20,81,3,22,38,0,0,0,6,0,6
Vogue1A.01.089,0,0,0,0,0,0,0,0,1,13,0,0,0,0,8927,219,13,405,0,10,0,2,0,5,15,17,0,11,6,0,0,0,1,0,2
Vogue1A.01.091,0,0,18,3,2,0,0,0,13,155,4,4,0,0,43,11419,10907,3,0,134,15,15,0,0,39,21,431,50,12,1,0,94,0,0,3
Vogue1A.01.097,0,0,0,0,0,0,0,0,0,14,0,0,0,0,6733,40,7,12,0,2,0,0,0,2,4,0,2,0,4,0,0,0,0,0,0
Vogue1A.01.098,0,0,1,1,1,0,0,0,13,78,5,2,0,0,2965,600,2586,10463,0,10,0,2,0,2,9,106,4,0,20,0,0,10,0,0,1
Vogue1A.01.108,0,9,0,0,662,0,0,0,1,92,3808,2551,0,0,32,12,98,276,0,622,0,1,0,0,1081,3,583,26,3,0,0,0,0,0,5
Vogue1A.01.109,0,0,3,0,11,0,0,0,2,11,10,0,0,0,142,11,2140,8,2,24,3,32,2,0,8,1,20,42,9,53,2,111,0,0,4
Vogue1A.01.110,0,0,0,0,1,0,4,0,2,17,22,5,0,0,29,68,92,3014,12,16,0,1,0,0,10,15,15,253,5,0,0,0,0,0,9
Vogue1A.01.113,0,0,0,3,0,0,5,0,2,5,4,3,0,0,9152,24,8,55,15,55,0,35,0,16,14,2,12,89,12,0,2,0,28,0,37
Vogue1A.01.114,0,0,0,0,244,381,3,0,39,88,528,40,1,0,21986,72,525,80,372,119,2,48,0,9,66,82,154,829,16,0,0,0,15,1,2
Vogue1A.01.121,0,1,6,0,10,26,0,0,6,63,525,11,0,0,24,3997,33,0,99,9,0,0,0,0,2,1,30,8,6,0,2,82,0,0,10
Vogue1A.01.122,0,6,83,21,87,2,1,0,15,72,3098,396,2,0,11,5,4684,75,1179,254,12,2,0,0,75,0,111,32,3,0,0,460,2,0,0
Vogue1A.01.125,0,0,12,0,2,56,0,0,23,19,53,0,0,0,9678,103,1079,1680,15,28,0,65,0,4,127,11,2,620,11,0,8,6,46,0,1
Vogue1A.01.126,0,0,3,0,50,0,0,0,17,33,21,8,0,0,4908,37,6347,72,6,32,0,47,3,2,16,10,17,1,7,36,4,377,0,0,0
Vogue1A.01.128,0,0,70,8,0,1,113,0,31,36,109,11,0,0,7395,144,274,122,197,96,113,128,0,6,8,6,126,148,7,0,0,29,6,0,16
Vogue1A.01.131,0,0,7,4,31,3,0,0,1,10,127,9,0,0,25,299,5,0,36,48,0,0,1073,0,2,0,160,8,3,0,8,24,0,0,0
Vogue1A.01.133,0,9,0,0,1,1,1,0,1,479,14320,7,0,0,27,3,6,13,0,240,42,14,0,0,42,0,0,391,22,0,0,0,114,0,5
Vogue1A.01.137,0,1,0,0,0,0,10,0,0,1,5,27,0,0,1040,9,99,35,0,3,0,5,0,2,8,5,9,5,4,0,0,0,0,0,0
Vogue1A.01.138,0,0,181,1,0,0,0,0,0,60,3270,3,0,0,11,0,3,14,2,0,0,2,0,0,5,0,0,6,100,0,0,0,0,0,0
Vogue1A.01.140,0,0,20,0,1,1,0,0,6,41,1344,30,2,0,833,15,5,69,9,5,0,2,0,0,5,1,1,2,4,1,0,7,0,0,0
Vogue1A.01.144,0,1,0,0,19,0,0,0,4,695,2945,61,0,0,242,22,1426,3,2,6,0,0,0,3,46,9,2,1,4,0,0,1,3,0,0
Vogue1A.01.146,0,0,1,0,0,1,0,0,6,6,27,0,0,0,9776,18,4,9,2,5,0,3,0,2,6,2,2,3,14,0,0,0,0,0,0
Vogue1A.01.150,0,0,3,0,0,0,1,0,1,43,5,0,0,0,1975,14,2,37,11,1,0,0,0,0,1,7,0,0,0,0,0,3,0,0,0
Vogue1A.01.157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1673,6,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Vogue1A.01.161,0,0,0,0,0,0,0,0,4,24,1,0,0,0,20640,310,12,135,2,10,0,1,0,3,5,10,0,6,3,0,0,2,1,0,0
Vogue1A.01.164,0,158,0,1007,12,0,0,0,5,25,1,0,0,0,671,3255,4,36,1,10,0,0,2,4,5,6,0,0,319,0,0,3,0,0,0
