Simple.name,TOTAL.frequency,X1B2_01_26,X1B2_01_35,X1B2_01_37,X1B2_01_38,X1B2_01_50,X1B2_01_52,X1B2_01_56,X1B2_01_58,X1B2_01_61,X1B2_01_62,X1B2_01_63,X1B2_01_64
Acidaminococcus fermentans,35,0,0,3,0,7,7,2,7,0,2,6,1
Acinetobacter junii,1,0,0,0,0,0,0,0,0,0,0,1,0
Acinetobacter lwoffii,1,1,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria sp.,11549,35,7,1,4,221,9435,155,18,5,127,10,1531
Actinomyces neuii subsp. anitratus,4,0,0,0,0,0,0,2,2,0,0,0,0
Aerococcus urinae,76,50,13,1,0,1,1,0,6,0,4,0,0
Alloscardovia omnicolens,2,0,0,0,0,0,2,0,0,0,0,0,0
Anaeroglobus geminatus,39,39,0,0,0,0,0,0,0,0,0,0,0
Atopobium vaginae,866,204,27,17,18,32,48,6,10,8,56,15,425
Atopostipes suicloacalis ,44,4,0,0,39,0,0,0,0,0,0,1,0
Bacteroides pectinophilus,14,0,0,0,14,0,0,0,0,0,0,0,0
Bifidobacterium breve,16,2,0,0,1,2,5,0,3,0,0,0,3
Blautia hansenii ,6,0,0,0,3,0,0,2,0,0,0,0,1
Bulleidia extructa,22,3,0,0,0,0,0,18,0,0,1,0,0
Burkholderia glumae,1,0,0,0,0,0,0,0,0,0,1,0,0
Caldicellulosiruptor saccharolyticus,1,0,0,0,1,0,0,0,0,0,0,0,0
Clostridia sp. BVAB2,1182,81,66,0,1,7,11,495,4,37,205,2,273
Clostridium genomosp. BVAB3,613,196,3,0,0,0,0,0,10,0,397,0,7
Clostridium stercorarium subsp. stercorarium,32,19,0,0,0,0,0,0,0,1,12,0,0
Coprococcus eutactus,22,0,0,1,0,10,0,0,8,0,0,2,1
Desulfotomaculum hydrothermale,9,0,0,0,0,0,0,9,0,0,0,0,0
Dialister invisus ,8,0,0,0,8,0,0,0,0,0,0,0,0
Eggerthella lenta,127,17,0,2,0,0,7,97,0,4,0,0,0
Escherichia coli,1740,0,0,1,1738,0,0,0,1,0,0,0,0
Eubacterium coprostanoligenes,5,0,0,0,0,0,0,0,0,0,5,0,0
Eubacterium eligen,5,0,0,0,5,0,0,0,0,0,0,0,0
Faecalibacterium cf. prausnitzii,97,0,1,10,15,24,8,1,2,7,14,4,11
Gardnerella vaginalis Group A,13632,1493,1870,3449,8,775,4,53,105,9,5843,4,19
Gardnerella vaginalis Group C,4940,174,408,96,5,18,9,497,28,3577,114,6,8
Gardnerella vaginalis Group D,65,0,0,0,0,0,0,64,0,1,0,0,0
Haemophilus haemolyticus,20,0,0,0,0,0,0,0,2,0,0,0,18
Lactobacillus acidophilus ,70,1,0,7,3,31,0,0,16,0,0,11,1
Lactobacillus coleohominis,17,0,0,0,3,1,0,0,8,0,0,5,0
Lactobacillus crispatus,8815,1,3,7,15,10,22,40,3807,2,10,4880,18
Lactobacillus gasseri,2929,0,2,8,209,51,2599,17,11,21,7,2,2
Lactobacillus iners,14206,14,7,1666,190,9179,1,17,2817,1,89,9,216
Lactobacillus jensenii,259,21,11,9,19,11,23,4,8,2,8,141,2
Lactobacillus plantarum,70,0,2,6,7,18,12,4,7,2,2,6,4
Lactobacillus reuteri,29,0,0,0,0,6,5,1,0,0,0,17,0
Lactobacillus ultunensis,23,0,6,4,0,1,2,0,0,0,10,0,0
Leuconostoc lactis,1,0,0,0,0,1,0,0,0,0,0,0,0
Magnetospirillum magnetotacticum,11,2,0,1,1,1,4,2,0,0,0,0,0
Megasphaera cerevisiae,564,0,9,0,0,0,0,0,7,0,546,2,0
Megasphaera sp. genomosp. type_1,607,602,0,0,0,1,2,0,1,0,0,0,1
Methylobacillus flagellatus,15,0,0,3,0,2,0,0,0,0,10,0,0
Mitsuokella multacida,3,0,0,0,0,0,0,0,1,0,0,2,0
Paraprevotella clara ,2,0,0,0,0,0,0,0,0,0,0,0,2
Peptoniphilus harei,152,2,0,6,53,10,6,33,5,16,1,4,16
Peptoniphilus lacrimalis,1,0,0,0,0,0,0,1,0,0,0,0,0
Porphyromonas uenonis,1,0,0,0,0,0,0,0,0,0,1,0,0
Prevotella amnii,3610,2,0,1,2,1,1,0,0,0,0,1,3602
Prevotella bergensis,595,0,0,0,0,1,0,576,0,16,1,0,1
Prevotella bivia,132,83,0,0,0,0,30,8,0,1,8,1,1
Prevotella buccalis,28,0,2,0,0,0,0,0,0,0,26,0,0
Prevotella dentalis,1,0,0,0,0,0,0,0,0,0,0,0,1
Prevotella dentasini,164,0,0,0,0,0,0,160,0,3,1,0,0
Prevotella disiens,185,0,0,0,0,0,0,180,0,5,0,0,0
Prevotella loescheii,1,0,0,0,0,0,0,1,0,0,0,0,0
Prevotella melaninogenica,10,0,0,0,0,0,0,0,0,0,0,0,10
Prevotella oralis,3,0,0,0,0,0,0,0,0,0,0,0,3
Prevotella paludivivens,32,0,0,0,1,0,0,30,0,1,0,0,0
Prevotella tannerae ,1,0,0,0,0,0,0,0,0,0,0,0,1
Prevotella timonensis,3070,681,0,0,0,4,8,2330,2,37,7,0,1
Prevotella veroralis ,2,0,0,0,0,0,0,2,0,0,0,0,0
Prosthecochloris vibrioformis ,3,0,0,0,0,0,0,3,0,0,0,0,0
Pseudomonas fluorescens,1,0,0,0,0,0,0,0,0,0,0,1,0
Ralstonia pickettii ,2,0,0,1,1,0,0,0,0,0,0,0,0
Serratia proteamaculans,1,0,0,0,1,0,0,0,0,0,0,0,0
Shigella sonnei,20,2,1,0,0,4,9,1,0,0,2,0,1
Streptobacillus moniliformis,2,0,0,0,0,0,0,2,0,0,0,0,0
Streptococcus devriesei,325,2,8,23,35,51,41,15,35,21,39,25,30
Streptococcus infantis,3,0,0,0,3,0,0,0,0,0,0,0,0
Streptococcus mitis,2,0,0,0,2,0,0,0,0,0,0,0,0
Streptococcus pseudopneumoniae,4,0,0,0,4,0,0,0,0,0,0,0,0
Streptococcus salivarius subsp. salivarius,2,0,0,0,2,0,0,0,0,0,0,0,0
Streptococcus sanguinis,255,0,0,0,254,0,0,0,0,0,0,0,1
Streptococcus suis,1,0,0,0,1,0,0,0,0,0,0,0,0
Streptococcus urinalis,2,0,0,0,0,0,0,2,0,0,0,0,0
Streptococcus vestibularis,8,0,0,0,8,0,0,0,0,0,0,0,0
Streptococcus waius,21,0,0,0,20,0,1,0,0,0,0,0,0
Trichechus manatus latirostris ,4,1,0,0,0,0,0,0,0,0,3,0,0
Veillonella parvula,4,0,0,0,0,0,4,0,0,0,0,0,0
