"","uid","DNA_Adeno","DNA_KlenNeg_A12","DNA_KlenNeg_A11","DNA_NTC_A9","DNA_NTC_E12","RNA_NTC_B9","RNA_NTC_B11","RNA_KlenNeg_B12","RNA_Entero","name","rank"
"1","10370",1,1,0,0,2,0,0,0,0,"Human herpesvirus 6 (strain Uganda-1102)","no rank"
"2","10590",1,0,0,0,0,0,0,0,0,"Human papillomavirus type 42","no rank"
"3","10618",1,1,8,0,1,0,0,0,0,"Human papillomavirus type 52","no rank"
"4","1279083",1,0,1,3903,13956,0,0,0,0,"Pseudomonas phage PPpW-4","species"
"5","129951",1,3,0,0,0,0,0,1,0,"Human mastadenovirus C","species"
"6","1349410",1,0,0,0,0,0,1,1,0,"Pandoravirus salinus","species"
"7","1416334",1,0,0,0,0,0,0,0,0,"Lactobacillus phage phi jlb1","species"
"8","1421422",1,0,0,0,0,0,0,0,0,"Emiliania huxleyi virus 156","species"
"9","146015",1,0,0,0,0,0,0,0,0,"Elephantid herpesvirus 1","species"
"10","1605721",1,0,0,0,0,312,0,0,0,"Pandoravirus inopinatum","species"
"11","1610831",1,0,0,0,0,0,0,0,0,"Staphylococcus phage IME-SA2","no rank"
"12","180230",1,0,0,0,0,0,0,0,0,"Cyprinid herpesvirus 3","species"
"13","181216",1,0,0,0,1,0,0,0,0,"Emiliania huxleyi virus 84","species"
"14","333754",1,0,1,0,0,0,0,0,0,"Alphapapillomavirus 10","species"
"15","333767",1,0,1,1,0,0,0,0,0,"Alphapapillomavirus 3","species"
"16","333772",1,0,0,0,0,0,0,0,0,"Human papillomavirus type 83","no rank"
"17","342409",1,0,0,0,0,1,0,0,0,"White spot syndrome virus","species"
"18","45455",1,0,0,0,0,0,0,0,0,"Macacine herpesvirus 4","species"
"19","654901",1,0,0,0,0,0,0,0,0,"Alcelaphine herpesvirus 1 strain C500","no rank"
"20","764030",1,0,0,0,0,0,0,0,0,"Pigeon adenovirus 1","no rank"
"21","82830",1,0,0,0,0,0,0,0,0,"Epstein-barr virus strain ag876","no rank"
"22","994672",1,0,0,0,0,0,0,0,0,"Titi monkey adenovirus ECC-2011","species"
"23","120686",2,0,0,1,0,0,0,0,0,"Human papillomavirus type 71","no rank"
"24","1421421",2,0,0,0,1,0,0,0,0,"Emiliania huxleyi virus 145","species"
"25","251749",2,0,0,9,4,0,0,0,0,"Phaeocystis globosa virus","species"
"26","337050",2,1,0,0,0,0,0,0,0,"Alphapapillomavirus 6","species"
"27","931244",2,0,0,0,0,0,0,0,0,"Alphapapillomavirus 14","species"
"28","10585",3,0,20,0,2,0,0,0,0,"Human papillomavirus type 31","no rank"
"29","1484958",3,1,7,0,2,0,0,0,0,"Human papillomavirus type 72b","no rank"
"30","333770",3,0,2,0,0,0,0,0,0,"Human papillomavirus type 72","no rank"
"31","334210",3,0,0,0,0,0,0,0,0,"Human papillomavirus type 62","no rank"
"32","1",4,0,0,1,122,450,0,0,0,"root","no rank"
"33","10375",4,0,0,0,1,0,0,0,0,"Lymphocryptovirus","genus"
"34","10527",4,0,0,0,1,0,0,0,0,"Human adenovirus D9","no rank"
"35","129875",4,0,0,0,1,0,0,0,0,"Human mastadenovirus A","species"
