Adenoviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Adenoviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Alloherpesviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Alloherpesviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Alphaflexiviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Ampullaviridae,Phage,,,,,,,,,,,,,,,,,,,,,,,,
Ampullaviridae,Phage,,,,,,,,,,,,,,,,,,,,,,,,
Anelloviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Anelloviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Ascoviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Ascoviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Asfarviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Astroviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Baculoviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Baculoviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Betaflexiviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Bicaudaviridae,Phage,,,,,,,,,,,,,,,,,,,,,,,,
Bicaudaviridae,Phage,,,,,,,,,,,,,,,,,,,,,,,,
Bunyaviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Caliciviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Caudovirales,Phage,,,,,,,,,,,,,,,,,,,,,,,,
Caudovirales,Phage,,,,,,,,,,,,,,,,,,,,,,,,
Caudovirales,Phage,,,,,,,,,,,,,,,,,,,,,,,,
Caulimoviridae,dsDNA_RT,,,,,,,,,,,,,,,,,,,,,,,,
Caulimoviridae,dsDNA_RT,,,,,,,,,,,,,,,,,,,,,,,,
Chrysoviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Chrysoviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Circoviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Circoviridae,Viral_DNA,,,,,,,,,,,,,,,,,,,,,,,,
Closteroviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Closteroviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Coronaviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Endornaviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Flaviviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Flaviviridae,Viral_RNA,,,,,,,,,,,,,,,,,,,,,,,,
Fuselloviridae,Phage,,,,,,,,,,,,,,,,,,,,,,,,
