"","uid","name","rank"
"1","10370","Human herpesvirus 6 (strain Uganda-1102)","no rank"
"2","10590","Human papillomavirus type 42","no rank"
"3","10618","Human papillomavirus type 52","no rank"
"4","1279083","Pseudomonas phage PPpW-4","species"
"5","129951","Human mastadenovirus C","species"
"6","1349410","Pandoravirus salinus","species"
"7","1416334","Lactobacillus phage phi jlb1","species"
"8","1421422","Emiliania huxleyi virus 156","species"
"9","146015","Elephantid herpesvirus 1","species"
"10","1605721","Pandoravirus inopinatum","species"
"11","1610831","Staphylococcus phage IME-SA2","no rank"
"12","180230","Cyprinid herpesvirus 3","species"
"13","181216","Emiliania huxleyi virus 84","species"
"14","333754","Alphapapillomavirus 10","species"
"15","333767","Alphapapillomavirus 3","species"
"16","333772","Human papillomavirus type 83","no rank"
"17","342409","White spot syndrome virus","species"
"18","45455","Macacine herpesvirus 4","species"
"19","654901","Alcelaphine herpesvirus 1 strain C500","no rank"
"20","764030","Pigeon adenovirus 1","no rank"
"21","82830","Epstein-barr virus strain ag876","no rank"
"22","994672","Titi monkey adenovirus ECC-2011","species"
"23","120686","Human papillomavirus type 71","no rank"
"24","1421421","Emiliania huxleyi virus 145","species"
"25","251749","Phaeocystis globosa virus","species"
"26","337050","Alphapapillomavirus 6","species"
"27","931244","Alphapapillomavirus 14","species"
"28","10585","Human papillomavirus type 31","no rank"
"29","1484958","Human papillomavirus type 72b","no rank"
"30","333770","Human papillomavirus type 72","no rank"
"31","334210","Human papillomavirus type 62","no rank"
"32","1","root","no rank"
"33","10375","Lymphocryptovirus","genus"
"34","10527","Human adenovirus D9","no rank"
"35","129875","Human mastadenovirus A","species"
"36","130308","Human mastadenovirus E","species"
"37","10596","Human papillomavirus type 56","no rank"
"38","419435","Glypta fumiferanae ichnovirus","species"
"39","372443","unclassified Coccolithovirus","no rank"
"40","151340","Papillomaviridae","family"
"41","346673","Coccolithovirus","genus"
"42","298334","Simian mastadenovirus A","species"
"43","202250","Human papillomavirus type 89","no rank"
"44","46929","Human adenovirus 27","no rank"
"45","28276","Human adenovirus 15","no rank"
"46","108098","Human mastadenovirus B","species"
"47","10376","Human herpesvirus 4","species"
"48","46938","Human adenovirus 43","no rank"
"49","216370","Human adenovirus 8E","no rank"
"50","10508","Adenoviridae","family"
"51","31545","Human adenovirus D8","no rank"
"52","28278","Human adenovirus 19","no rank"
"53","46924","Human adenovirus 22","no rank"
"54","10509","Mastadenovirus","genus"
"55","130310","Human mastadenovirus D","species"
"56","542836","Picovirinae","subfamily"
"57","12402","Streptococcus phage EJ-1","species"
"58","318569","Enterovirus B86","no rank"
"59","82639","Coxsackievirus B2","no rank"
"60","333769","Human papillomavirus type 90","no rank"
"61","12071","Coxsackievirus B1","no rank"
"62","45101","Echovirus E25","no rank"
"63","12067","Coxsackievirus A9","no rank"
"64","138949","Enterovirus B","species"
"65","12059","Enterovirus","genus"
"66","37116","Human papillomavirus type 61","no rank"
"67","333771","Human papillomavirus type 81","no rank"
"68","10239","Viruses","superkingdom"
"69","10381","Saimiriine herpesvirus 2","species"
"70","11745","Human endogenous retrovirus ERV-9","no rank"
"71","1273711","Synechococcus phage S-CBP1","species"
"72","305674","Deerpox virus W-848-83","species"
"73","31552","Human papillomavirus type 6","no rank"
"74","985780","unclassified Mimiviridae","no rank"
"75","10479","Thermoproteus tenax virus 1","species"
"76","644007","Streptococcus phage PH10","species"
"77","1204538","Pseudomonas phage Phi-S1","species"
"78","1247379","Moumouvirus goulette","no rank"
