"","var","pval","cohend"
"2","Age.cat",0.572629354850653,-0.157704545131431
"1","BMI.under.cat",0.174326616398999,0.617127232965083
"21","BMI.over.cat",0.374787444812191,0.269371848302691
"11","Ethnicity.cat",0.809798903708247,-0.065852519913904
"0","Yeast.ever",0.0100259856176571,0.712413732751169
"01","UTI.ever",0.0974204280962906,0.461131751296238
"02","Trich.ever",0.364867675871296,0.465932584900622
"03","Chlamydia.ever",0.342413291863726,0.482904907152557
"04","Condyloma.ever",0.119292641836652,0.571358167456198
"05","GenHerpes.ever",0.303940390780038,0.379149552877641
"06","Gonorrhea.ever",0.0153776091267204,1.12343653180966
"07","Presence.Symptoms.2wks",0.400403875415595,-0.228992091265777
"08","Presence.Symptoms.48hrs",0.97612777205018,0.00868298488446168
"09","Symptom.pain",0.441924054075408,0.244042074999896
"010","oralsxfrequency.cat",0.689471358869861,0.10940706837296
"011","analsxfrequency.cat",0.360474497701235,0.756214617858255
"012","sextoyfrequency.cat",0.788912943366781,-0.0854838384475173
"013","sexpartner1yr.cat",0.418017763663664,0.334201535627994
"014","sexpartner2mo.cat",0.62952733356803,-0.191569579679137
"015","Contraception.H",0.701162071688565,-0.114002931547004
"016","Contraception.B.M",0.685369073342064,-0.114154553370824
"017","Contraception.none",0.322358320547621,0.383865998932455
"018","condoms.48h",0.952026440129821,-0.0386947473053178
"019","Pregnancy.cat",0.803406592865344,-0.0712533634382818
"020","Feminine.products",0.427653187859021,0.272319759751702
"021","Feminine.products.48hrs",0.501721229162981,0.54119119946147
"022","Tampon.Use.cat",0.783842713249641,-0.0825882727463701
"023","Tampon.use.1mth",0.563492653161756,-0.158235379680291
"024","smoking.current",0.0572036027007904,0.552194124772407
"025","substanceuse",0.92850344333084,0.0306897821849926
"026","contramethnotactive___1",0.66281123517773,-0.149560166992812
"027","abnormaldischarge2wk",0.943217591876902,0.0216382798096627
"028","abnormaldischarge48",0.493847752153801,0.238960076011
"029","abnormalodor2wk",0.608261590159554,0.244860798218005
"030","abnormalodor48",0.340098900237951,0.497690917853933
"031","irritationdiscomfort2wk",0.0876312414704384,-0.480930337094043
"032","irritationdiscomfort48",0.201854743093677,-0.354121997808069
"033","rxdrug",0.0138404137535134,0.647324224694244
"034","antimicrodrug",0.111238407030895,0.496347696404695
"035","vaginalintercourse48hr",0.31350188673825,0.323505614742402
"036","t16",0.0191009848601028,1.95750482075564
"037","t33",0.766570054694018,-0.118698053310019
"038","t42",0.838961590609273,0.262881790875269
"039","t51",0.104692919121405,-0.687385579166901
"040","t54",0.766570054694018,-0.118698053310019
"041","t56",0.320745203343075,0.653728346985446
"042","t61",0.480692375243326,0.372249989421515
"043","t62",0.921264110794875,-0.0564735679205101
"044","t66",0.0621241108931963,-0.589297431039733
"045","t67",0.603730466221145,-0.338283074202277
"046","t70",0.103594706863121,0.716498766356306
"047","t81",0.682924563491364,0.258359312129308
"048","t84",0.618440553542836,-0.176204553722225
"12","HBV.sAg...Result",0.380785376633305,-0.502645811598134
