"","variable","glm.eBH","kw.eBH","signif"
"1","CST",0.196016980517066,0.613582906685626,FALSE
"2","age",1.26928483904982e-13,0.703986937758905,FALSE
"3","bmi",3.02943316918249e-19,0.68925561232676,FALSE
"4","Age.cat",0.682493979627517,0.674343392126342,FALSE
"5","BMI.under.cat",0.890496524585148,0.852858561055807,FALSE
"6","BMI.over.cat",0.827316623135566,0.879986633512511,FALSE
"7","Ethnicity.cat",0.531124612894994,0.701866846916297,FALSE
"8","Ethnicity2.cat",0.687741170386036,0.856318006099694,FALSE
"9","bv_life",0.122934129776035,0.855615578340392,FALSE
"10","bv_infecttotal_1yr",0.135889652430817,0.841154068242387,FALSE
"11","bv_infecttotal_2mo",0.289760788847937,0.774863488843227,FALSE
"12","BV.ever",0.66661430407028,0.745764984625027,FALSE
"13","Yeast.ever",0.759474782925303,0.796885795488218,FALSE
"14","UTI.ever",0.707248400802304,0.732621776690421,FALSE
"15","Trich.ever",0.786906069457804,0.914220314126772,FALSE
"16","Condyloma.ever",0.676074655517381,0.838199258208923,FALSE
"17","GenHerpes.ever",0.702840207502302,0.867961389387093,FALSE
"18","Chlamydia.ever",0.605132941566459,0.738153803830556,FALSE
"19","Gonorrhea.ever",0.146424406149973,0.660017315014006,FALSE
"20","Syphillis.ever",6.35729212260011e-07,0.687033347055679,FALSE
"21","Presence.Symptoms.2wks",0.852952433550454,0.885878421266502,FALSE
"22","Presence.Symptoms.48hrs",0.776975513980477,0.857705403321147,FALSE
"23","Symptom.pain",0.762610751175432,0.840625948054788,FALSE
"24","oralsxfrequency.cat",0.794867702592567,0.809639982676478,FALSE
"25","analsxfrequency.cat",0.0375047524726915,0.615002940969309,FALSE
"26","sextoyfrequency.cat",0.758001092213118,0.793205407577989,FALSE
"27","sexpartner1yr.cat",0.889834603876514,0.863791125239317,FALSE
"28","sexpartner2mo.cat",0.859714427564087,0.881342538918579,FALSE
"29","Contraception.H",0.823291119361238,0.845996840277564,FALSE
"30","Contraception.B.M",0.833079564549122,0.840364586414599,FALSE
"31","Contraception.IUD",0.237942165023705,0.733688035855354,FALSE
"32","Contraception.none",0.836070997427504,0.859777964267719,FALSE
"33","condoms.48h",0.854049229205814,0.767529156758755,FALSE
"34","Pregnancy.cat",0.621009923146189,0.627973438424772,FALSE
"35","Feminine.products",0.788056981089436,0.849137572202387,FALSE
"36","Feminine.products.48hrs",0.699069479158467,0.868697108283196,FALSE
"37","Tampon.Use.cat",0.718511814271048,0.877404273076505,FALSE
"38","days.since.LMP",3.03141626699329e-06,0.822842050599322,FALSE
"39","Tampon.use.1mth",0.873538918223872,0.898367952707745,FALSE
"40","smoking.current",0.741088087959013,0.819206620303202,FALSE
"41","druguse",0.400519105690615,0.46238087421566,FALSE
"42","substanceuse",0.844953550042979,0.903952725144274,FALSE
