"","var","pval","Fvalue"
"1","age",0.576238899752467,0.798139496166477
"2","bmi",0.268263902145748,1.31725998050365
"3","bv_life",0.382441819520439,1.08969309279859
"4","bv_infecttotal_1yr",0.844747685085157,0.445086096873679
"5","bv_infecttotal_2mo",0.759996737821875,0.559693168559219
"6","days.since.LMP",0.0402461939568044,2.42704904988275
"7","Number.of.Different.HPV.Types",0.810744751913128,0.481382113821138
"8","Med.Duration",0.546099317118951,0.839168040861259
"9","Duration.of.HIV.Infection.",0.62262201698837,0.736732667820972
"10","CD4.Nadir.",0.435513950733858,1.03449653533723
"11","Highest.VL.Ever..",0.809565066505552,0.493993351796233
"12","CD4.",0.191176170406964,1.64904604922758
"13","VL..copies.mL..",0.833208476786512,0.461416581703002
"14","ShannonsDiversity",6.7222454212511e-11,18.5036073257594
