"","Virus_Groups","freq","Vogue1B.01.01","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.52","Vogue1B.01.03","Vogue1B.01.27","Vogue1B.01.51"
"1","Adenoviridae",1577,19,33,36,192,61,19,24,62,27,45,63,18,37,193,88,85,9,96,40,26,106,136,60,86,16
"2","Anelloviridae",517,4,1,0,17,3,0,100,3,2,0,3,18,55,1,29,13,2,94,91,0,53,1,2,1,24
"3","Baculoviridae",618,14,15,21,48,17,6,14,25,26,3,42,3,11,12,38,48,5,55,1,9,73,12,52,51,17
"4","Caudovirales",144,0,0,0,7,2,14,75,9,0,0,0,1,1,9,4,8,2,1,4,4,1,0,2,0,0
"5","dsDNA",1597,40,29,42,63,43,22,32,41,14,22,83,380,60,24,42,88,8,96,83,45,109,23,71,110,27
"6","dsDNA_RT",7,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","dsRNA",204,0,0,5,52,10,2,3,2,0,0,4,1,3,1,1,2,3,17,1,7,84,2,2,2,0
"8","Herpesviridae",1673485,1377,1657672,207,393,275,179,3136,228,3026,292,343,186,3881,96,277,81,49,294,77,161,331,50,393,408,73
"9","Hytrosaviridae",19,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,4,0,0,2,0,3,3,0
"10","Lactobacillus_phage",1536,56,0,11,0,485,0,0,0,2,13,0,0,0,0,43,117,0,0,0,0,0,0,809,0,0
"11","Myoviridae",15298,558,8,79,142,297,128,74,32,72,4503,72,58,373,9,155,6875,284,136,51,70,181,648,NA,NA,NA
"12","negative_ssRNA",29,0,0,5,1,0,1,1,3,0,1,2,1,2,3,2,1,0,0,0,1,1,0,0,4,0
"13","Other_Phages",821,74,1,0,9,17,5,10,76,87,20,7,38,9,102,13,137,26,13,4,123,13,5,NA,NA,NA
"14","Other_Viruses_unclassified",9351,40,2,14,53,138,26,108,23,83,19,8,92,4606,256,27,3658,47,17,1,8,10,1,75,8,31
"15","Pandoraviridae",1161,21,15,26,37,26,26,21,43,18,6,162,20,15,15,58,31,3,200,20,19,134,2,133,93,17
"16","Papillomaviridae",3690994,2430,277,368,417,6361,31590,2887,4478,525,380,611,1287957,9596,379,773184,6439,107,259830,1604,1294524,1571,104,4057,1137,181
"17","Phycodnaviridae",15642,337,341,574,1860,421,21,213,618,309,29,756,95,102,350,945,1166,91,1397,84,168,1704,1533,913,1103,512
"18","Picornaviridae",1498,12,1269,11,19,8,10,6,17,14,0,15,7,8,8,8,8,5,4,4,13,6,5,16,16,9
"19","Podoviridae",19331,240,10,164,525,598,39,526,313,190,8258,25,149,111,3741,130,1159,507,135,200,1000,70,1129,NA,NA,NA
"20","Polydnaviridae",3086,41,12,75,49,51,10,32,78,44,19,361,51,18,28,109,73,7,1251,33,35,180,4,271,235,19
"21","Polyomaviridae",190,5,0,0,0,1,0,0,22,0,4,0,0,0,3,0,146,1,1,1,2,0,1,3,0,0
"22","positive_ssRNA",403,4,5,4,62,20,2,1,13,8,7,13,1,0,17,30,29,2,25,1,4,20,109,18,6,2
"23","Retroviridae",3393,10,18,28,126,23,5,9,26,7,2361,45,3,8,156,50,88,1,67,5,10,75,20,34,49,169
"24","Siphoviridae",57318,2552,33,324,337,359,102,1343,197,783,1684,25,238,7806,2491,332,34203,359,132,678,1245,117,1138,NA,NA,NA
"25","ssDNA",30,2,2,2,3,1,1,0,7,0,0,2,0,0,0,4,3,1,1,0,1,0,0,0,0,0
"26","Streptococcus_phage",482,0,0,0,0,0,0,2,0,7,5,0,0,0,0,0,467,0,0,0,1,0,0,0,0,0
"27","Virgaviridae",6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
