,Var1,freq,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15
1,1,245,1,12,5,0,224,0,2,1
2,Other Viruses (unclassified),3,1,0,0,0,1,0,0,1
3,Adenoviridae,708,1,0,1,0,1,0,705,0
4,Flaviviridae,1,1,0,0,0,0,0,0,0
5,Luteoviridae,1,1,0,0,0,0,0,0,0
6,Nimaviridae,3,1,0,1,0,1,0,0,0
7,Phycodnaviridae,600,1,15,3,0,577,3,1,0
8,Potyviridae,3,1,0,0,0,0,1,1,0
9,Myoviridae,101,2,29,0,0,69,1,0,0
10,Baculoviridae,427,3,7,0,0,416,0,1,0
11,Herpesviridae,458,3,20,9,2,417,2,3,2
12,Reoviridae,10,4,0,0,1,0,2,0,3
13,Polydnaviridae,129,11,18,4,0,88,1,3,4
14,Picornaviridae,185,104,20,0,2,0,9,45,5
15,Pandoraviridae ,63,0,1,0,0,61,1,0,0
16,Iridoviridae,11,0,1,0,0,10,0,0,0
17,Papillomaviridae,5,0,1,0,0,3,1,0,0
18,Siphoviridae,6,0,1,0,0,4,0,1,0
19,Alloherpesviridae,17,0,5,0,0,12,0,0,0
20,Retroviridae,45,0,5,1,1,32,2,3,1
21,Pandoraviridae ,76,0,8,2,0,64,2,0,0
22,Closteroviridae,1,0,0,1,0,0,0,0,0
23,Other dsDNA Viruses,1,0,0,0,1,0,0,0,0
24,Other Viruses (unclassified),1,0,0,0,0,1,0,0,0
25,Other ssRNA positive viruses,1,0,0,0,0,1,0,0,0
26,Caudovirales,1,0,0,0,0,1,0,0,0
27,Other dsDNA Viruses,1,0,0,0,0,1,0,0,0
28,Ascoviridae,1,0,0,0,0,1,0,0,0
29,Hytrosaviridae,1,0,0,0,0,1,0,0,0
30,Nudiviridae,1,0,0,0,0,1,0,0,0
31,Anelloviridae,2,0,0,0,0,2,0,0,0
32,Mimiviridae,6,0,0,0,0,4,2,0,0
33,Other dsDNA Viruses,7,0,0,0,0,6,0,0,1
34,Pandoraviridae ,11,0,0,0,0,11,0,0,0
35,Other dsDNA Viruses,13,0,0,0,0,13,0,0,0
36,Other dsDNA Viruses,81,0,0,0,0,81,0,0,0
37,Podoviridae,2,0,0,0,0,0,2,0,0
38,Other Viruses (unclassified),4,0,0,0,0,0,0,4,0
39,Poxviridae,1,0,0,0,0,0,0,0,1
