"","var","pval","Fvalue"
"1","Group",6.7222454212511e-11,18.5036073257594
"2","Group_minus_pap",0.000962013323014253,4.58996752918595
"3","CST",0.044968816779677,2.47516961230604
"4","Ethnicity2.cat",0.547645539473513,0.366327283682144
"5","Syphillis.ever",0.360785725784343,0.850087663501677
"6","Contraception.IUD",0.202635976423566,1.6650150192883
"7","druguse",0.300338687058082,1.09439213987304
"8","nugent_score_result",0.829250616651619,0.046990230748461
"9","sexpartner",0.44835815321046,0.583772098923061
"10","vaginalsymptomother2wk",0.841182395497653,0.0405812153190157
"11","t18",0.699120591351337,0.15424801246393
"12","t26",0.500433008976022,0.472875763765619
"13","t35",0.279724256039551,1.24211493721158
"14","t45",0.699120591351337,0.15424801246393
"15","t52",0.440899683838981,0.621086363776227
"16","t53",0.0627879282062803,3.93397071516098
"17","t68",0.699120591351337,0.15424801246393
"18","t71",0.197199487547495,1.79322866041567
"19","t72",0.947966788586765,0.00437932957272961
"20","t73",0.699120591351337,0.15424801246393
"21","t83",0.0955836451277253,3.09370636974008
"22","t89",0.500433008976022,0.472875763765619
"23","Is.the.patient.antiretroviral.naive.",0.781665889324353,0.078632603700588
"24","HIV.Clade...Result",0.374536081121553,1.09142194184209
"25","Likely.mode.of.HIV.acquisition",0.321145731890388,1.25258820932989
"26","HCV.Antibody...Result",0.0822094684985884,2.8049918382168
"27","HCV.PCR...Result",0.101392685690231,2.54427363010549
"28","HBV.sAb...Result",0.840725100154709,0.174865901125974
"29","HBV.cAb...Result",0.827995677628523,0.1903759904039
"30","study_arm",0.402479594103783,0.926547049441084
