"","Var1","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52"
"1","Choristoneura occidentalis granulovirus",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"2","Lymphocryptovirus",1,0,3280,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3","Mycobacterium phage Sheen",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Orf virus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"5","Pandoravirus dulcis",1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"6","Shewanella sp. phage 1/44",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Xestia c-nigrum granulovirus",1,1,0,3,2,0,0,1,1,0,0,1,0,1,1,0,1,2,1,0,0,0,1,1,0
"8","Paramecium bursaria Chlorella virus AP110A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","uncultured marine virus",2,0,0,2,0,0,1,0,0,0,1,5,39,0,0,0,2,1,0,0,0,0,0,1,0
"10","Coxsackievirus A9",3,2,150,3,4,2,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,2,1
"11","Enterovirus",4,12,828,6,7,5,8,6,10,8,0,7,7,6,8,6,4,5,5,3,3,8,3,5,3
"12","Enterovirus B",5,0,261,2,3,0,0,0,4,2,0,4,0,1,5,0,2,3,0,1,1,4,1,2,1
"13","Human herpesvirus 4",9,2,20945,0,2,2,1,2,1,1,1,4,1,0,1,1,4,0,1,0,0,1,0,3,0
"14","Acanthocystis turfacea Chlorella virus 1",0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"15","Acidianus bottle-shaped virus (isolate Pozzuoli)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Baku virus",0,1,0,5,19,4,1,2,0,0,0,4,1,2,2,0,1,2,3,17,0,2,84,0,2
"17","Coccolithovirus",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0
"18","Echovirus E12",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Echovirus E9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Hyposoter fugitivus ichnovirus",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Lactobacillus phage Lrm1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Panine herpesvirus 2",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"23","Papiine herpesvirus 2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Rat cytomegalovirus Maastricht",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Spodoptera frugiperda granulovirus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Human herpesvirus 6 (strain Uganda-1102)",0,2,0,2,1,1,1,2,4,1,21,3,2,0,4,1,2,2,1,0,0,1,0,2,0
"27","Pandoravirus salinus",0,3,0,0,0,0,3,2,1,1,4,1,2,1,1,5,0,1,1,0,1,2,3,0,0
"28","root",0,5,3,0,2,0,3,2,0,0,1,5,1,1,2,213,0,1,0,3,0,2,1,1,0
"29","Glypta fumiferanae ichnovirus",0,6,5,5,4,4,3,2,5,3,7,4,1,0,6,10,0,1,1,6,1,1,1,1,1
"30","unclassified Coccolithovirus",0,8,2,5,2,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,1,0,0
"31","Leporid herpesvirus 1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Staphylococcus phage IME-SA2",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Thermoproteus tenax virus 1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Macacine herpesvirus 4",0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Echovirus E6",0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Falconid herpesvirus 1",0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
