"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"1","Choristoneura occidentalis granulovirus",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Enterovirus B",1,6,31,2,1,2,1,2,1,3,1,1,0,1,0,0,2,2,1539,1,0
"3","Measles virus",1,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1
"4","Murid herpesvirus 1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Squash chlorosis mottling virus",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"6","Sunshine virus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Vaccinia virus Copenhagen",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Coxsackievirus A9",2,1,8,1,0,1,0,0,2,2,1,1,0,1,0,0,0,1,793,1,0
"9","Human herpesvirus 6 (strain Uganda-1102)",2,1,5,1,4,3,0,0,5,2,3,6,41,1,0,0,2,0,1,2,13
"10","Moumouvirus",2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"11","root",2,2,1,4,4,2,3,0,0,7,0,1,50,0,4,1,1,0,3,5,5
"12","Xestia c-nigrum granulovirus",2,1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,0
"13","Enterovirus",4,15,87,6,5,4,5,1,6,11,7,7,0,4,1,0,9,5,4093,4,3
"14","Baku virus",7,7,1,9,0,39,1,7,6,4,0,3,0,3,0,0,1,0,0,3,1
"15","Aureococcus anophagefferens virus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Organic Lake phycodnavirus 2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Phaeocystis globosa virus 12T",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Pseudomonas phage Lu11",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Saimiriine herpesvirus 1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Staphylococcus phage IME-SA2",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21","Pandoravirus salinus",0,2,7,5,3,2,2,0,0,4,0,1,51,1,1,0,1,0,1,1,16
"22","uncultured marine virus",0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0
"23","Glypta fumiferanae ichnovirus",0,8,10,1,6,9,1,2,3,14,5,4,137,1,1,0,2,0,10,4,109
"24","Elephantid herpesvirus 1",0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1
"25","Emiliania huxleyi virus 156",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Hyposoter fugitivus ichnovirus",0,0,1,0,0,1,1,0,0,1,0,1,7,0,0,0,0,0,0,0,2
"27","Klebsiella phage NTUH-K2044-K1-1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Paramecium bursaria Chlorella virus AR158",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","unclassified Siphoviridae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Avian sarcoma virus 31",0,0,2,0,1,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0
"31","Lactobacillus phage phiadh",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"32","Podoviridae",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Human mastadenovirus D",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","uncultured virus",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Podovirus GOM",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Bracovirus",0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Feline sarcoma virus (STRAIN GARDNER-RASHEED)",0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
"38","Human papillomavirus type 71",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0
"39","Pandoravirus inopinatum",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"40","unclassified Coccolithovirus",0,0,0,1,4,2,0,0,4,0,1,0,58,0,1,0,0,0,0,0,1
"41","Human herpesvirus 4",0,0,0,4,2,2,0,0,0,2,2,0,0,1,0,0,1,0,0,0,4
"42","Papillomaviridae",0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0
