,Var1,freq,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.71,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.77,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106,Vogue1B.01.01,Vogue1B.01.03,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.27,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.51,Vogue1B.01.52,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15
1,Potyviridae,20,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0
2,Poxviridae,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,1,586,2,2,1,4,4,2,3,0,0,7,0,1,50,0,4,1,1,0,3,5,5,0,5,3,0,2,0,3,2,0,0,1,5,1,1,2,213,0,1,0,3,0,2,1,1,0,1,12,5,0,224,0,2,1
4,Mimiviridae,25,2,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
5,Paramyxoviridae,18,2,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Baculoviridae,495,3,1,1,0,0,1,1,0,1,3,0,1,24,0,0,1,1,0,0,1,1,2,2,0,3,3,0,0,1,1,0,0,2,0,1,1,0,3,4,1,0,0,0,2,1,1,3,7,0,0,416,0,1,0
7,Herpesviridae,24947,3,2,6,5,8,8,0,1,5,7,6,8,42,3,0,0,5,0,1,2,18,10,7,24240,3,4,3,3,5,5,2,33,9,3,0,6,3,6,3,2,0,0,2,3,6,1,3,20,9,2,417,2,3,2
8,Picornaviridae,8508,7,22,126,9,7,7,6,3,9,17,9,11,0,6,1,0,12,8,6571,6,3,12,16,1269,11,15,8,10,6,15,14,0,12,7,8,13,8,7,8,5,4,4,12,5,9,5,104,20,0,2,0,9,45,5
9,Reoviridae,255,7,7,1,9,0,39,1,7,6,4,0,3,0,3,0,0,1,0,0,3,1,0,1,0,5,19,4,1,2,1,0,0,4,1,2,2,0,1,2,3,17,0,2,84,0,2,4,0,0,1,0,2,0,3
10,Other dsDNA Viruses,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,Pandoraviridae ,206,0,2,7,5,3,2,2,0,0,4,0,1,51,1,1,0,1,0,1,1,16,0,3,0,0,0,0,3,2,1,1,4,1,2,1,1,5,0,1,1,0,1,2,3,0,0,0,8,2,0,64,2,0,0
12,Myoviridae,136,0,2,0,0,0,1,0,0,0,5,0,0,11,1,0,0,0,0,0,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,2,29,0,0,69,1,0,0
13,Phycodnaviridae,850,0,2,2,1,4,8,0,0,6,1,3,1,71,1,91,0,0,0,1,0,3,2,10,2,5,3,0,2,2,1,1,1,3,1,2,2,0,0,4,0,1,0,4,3,6,0,1,15,3,0,577,3,1,0
14,Other Viruses (unclassified),65,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,1,5,39,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
15,Polydnaviridae,797,0,8,243,1,6,10,2,2,3,15,5,5,145,1,1,0,2,0,10,4,112,0,7,5,5,4,4,3,2,5,3,8,4,1,0,6,10,0,1,1,6,1,14,1,1,1,11,18,4,0,88,1,3,4
16,Retroviridae,2858,0,0,2,1,20,0,0,0,5,4,15,0,13,1,0,0,4,4,1,1,0,0,0,17,9,3,0,5,1,3,0,2359,13,0,3,0,143,2,15,0,2,1,1,0,159,6,0,5,1,1,32,2,3,1
17,Adenoviridae,762,0,0,3,0,0,0,0,0,8,1,0,0,1,0,3,0,0,0,5,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,705,0
18,Siphoviridae,59,0,0,3,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,3,0,0,1,1,0,2,0,0,0,0,0,0,10,4,0,0,0,1,0,3,0,0,0,1,0,1,0,0,1,0,0,4,0,1,0
19,Other Viruses (unclassified),9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
20,Podoviridae,30,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
21,Pandoraviridae ,14,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
22,Papillomaviridae,1050,0,0,0,9,1,0,0,0,0,1,0,0,1,0,77,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,931,0,1,0,0,0,0,1,0,0,3,1,0,0
23,Other Phages,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Other Viruses (unclassified),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Alloherpesviridae,40,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0,0
26,Virgaviridae,101,0,0,0,0,0,87,0,0,0,0,0,2,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Other dsDNA Viruses,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1
28,Iridoviridae,27,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0
